MeanERP,Participant,Bin
1.542,1_SML_diff,1
3.645,11_SML_diff,1
4.708,15_SML_diff,1
3.996,22_SML_diff,1
5.365,23_SML_diff,1
3.344,27_SML_diff,1
6.753,28_SML_diff,1
5.154,32_SML_diff,1
2.003,1_SML_diff,2
4.48,11_SML_diff,2
4.594,15_SML_diff,2
4.805,22_SML_diff,2
1.919,23_SML_diff,2
3.596,27_SML_diff,2
5.426,28_SML_diff,2
4.779,32_SML_diff,2
1.411,1_SML_diff,3
3.59,11_SML_diff,3
3.083,15_SML_diff,3
2.453,22_SML_diff,3
3.965,23_SML_diff,3
3.223,27_SML_diff,3
7.016,28_SML_diff,3
4.317,32_SML_diff,3
4.082,1_SML_diff,4
4.181,11_SML_diff,4
3.684,15_SML_diff,4
3.513,22_SML_diff,4
5.316,23_SML_diff,4
3.238,27_SML_diff,4
5.874,28_SML_diff,4
4.576,32_SML_diff,4
2.952,1_SML_diff,5
3.857,11_SML_diff,5
4.643,15_SML_diff,5
3.797,22_SML_diff,5
5.361,23_SML_diff,5
3.727,27_SML_diff,5
6.963,28_SML_diff,5
4.94,32_SML_diff,5
4.875,1_SML_diff,6
5.405,11_SML_diff,6
4.536,15_SML_diff,6
5.35,22_SML_diff,6
4.695,23_SML_diff,6
3.365,27_SML_diff,6
7.459,28_SML_diff,6
5.961,32_SML_diff,6
3.332,1_SML_diff,7
1.76,11_SML_diff,7
-0.173,15_SML_diff,7
1.355,22_SML_diff,7
-0.67,23_SML_diff,7
0.021,27_SML_diff,7
0.707,28_SML_diff,7
0.806,32_SML_diff,7
2.872,1_SML_diff,8
0.924,11_SML_diff,8
-0.058,15_SML_diff,8
0.545,22_SML_diff,8
2.776,23_SML_diff,8
-0.23,27_SML_diff,8
2.033,28_SML_diff,8
1.182,32_SML_diff,8
