bin1_Midline,bin2_Midline,bin3_Midline,bin4_Midline,bin5_Midline,bin6_Midline,bin7_Midline,bin8_Midline,ERPset
7.287,7.108,5.517,4.408,6.364,5.167,-2.121,-1.941,2_SML_diff
7.363,6.234,3.646,4.620,5.703,4.694,-2.669,-1.540,6_SML_diff
5.397,5.916,7.597,6.485,8.809,6.051,0.654,0.135,7_SML_diff
5.335,6.285,6.232,6.421,6.931,6.821,1.486,0.537,8_SML_diff
7.762,5.112,6.343,9.344,7.377,6.464,-1.299,1.352,13_SML_diff
5.629,3.534,3.075,2.898,2.514,2.878,-2.751,-0.656,16_SML_diff
3.760,6.882,5.376,4.550,5.937,6.726,2.966,-0.156,19_SML_diff
4.737,5.110,6.731,6.115,5.504,6.619,1.881,1.509,20_SML_diff
4.609,4.431,4.728,5.566,3.526,4.935,0.327,0.504,29_SML_diff
2.261,5.286,3.948,4.617,2.928,3.440,1.179,-1.845,33_SML_diff
